sentid	pairid	comparison	sentence	ROI	verb	semantic	semantic_class_detailed
1	1	expected	John abandoned David because he	4	abandoned	Activity	AgP
2	1	unexpected	Mary abandoned David because he	4	abandoned	Activity	AgP
3	2	expected	John abandoned David because he	4	abandoned	Activity	AgP
4	2	unexpected	Sarah abandoned David because he	4	abandoned	Activity	AgP
5	3	expected	David abandoned John because he	4	abandoned	Activity	AgP
6	3	unexpected	Mary abandoned John because he	4	abandoned	Activity	AgP
7	4	expected	David abandoned John because he	4	abandoned	Activity	AgP
8	4	unexpected	Sarah abandoned John because he	4	abandoned	Activity	AgP
9	5	expected	Mary abandoned Sarah because she	4	abandoned	Activity	AgP
10	5	unexpected	John abandoned Sarah because she	4	abandoned	Activity	AgP
11	6	expected	Mary abandoned Sarah because she	4	abandoned	Activity	AgP
12	6	unexpected	David abandoned Sarah because she	4	abandoned	Activity	AgP
13	7	expected	Sarah abandoned Mary because she	4	abandoned	Activity	AgP
14	7	unexpected	John abandoned Mary because she	4	abandoned	Activity	AgP
15	8	expected	Sarah abandoned Mary because she	4	abandoned	Activity	AgP
16	8	unexpected	David abandoned Mary because she	4	abandoned	Activity	AgP
17	9	expected	John abashed David because he	4	abashed	Psychological	StimExp
18	9	unexpected	Mary abashed David because he	4	abashed	Psychological	StimExp
19	10	expected	John abashed David because he	4	abashed	Psychological	StimExp
20	10	unexpected	Sarah abashed David because he	4	abashed	Psychological	StimExp
21	11	expected	David abashed John because he	4	abashed	Psychological	StimExp
22	11	unexpected	Mary abashed John because he	4	abashed	Psychological	StimExp
23	12	expected	David abashed John because he	4	abashed	Psychological	StimExp
24	12	unexpected	Sarah abashed John because he	4	abashed	Psychological	StimExp
25	13	expected	Mary abashed Sarah because she	4	abashed	Psychological	StimExp
26	13	unexpected	John abashed Sarah because she	4	abashed	Psychological	StimExp
27	14	expected	Mary abashed Sarah because she	4	abashed	Psychological	StimExp
28	14	unexpected	David abashed Sarah because she	4	abashed	Psychological	StimExp
29	15	expected	Sarah abashed Mary because she	4	abashed	Psychological	StimExp
30	15	unexpected	John abashed Mary because she	4	abashed	Psychological	StimExp
31	16	expected	Sarah abashed Mary because she	4	abashed	Psychological	StimExp
32	16	unexpected	David abashed Mary because she	4	abashed	Psychological	StimExp
33	17	expected	David abhorred John because he	4	abhorred	Psychological	ExpStim
34	17	unexpected	David abhorred Mary because he	4	abhorred	Psychological	ExpStim
35	18	expected	David abhorred John because he	4	abhorred	Psychological	ExpStim
36	18	unexpected	David abhorred Sarah because he	4	abhorred	Psychological	ExpStim
37	19	expected	John abhorred David because he	4	abhorred	Psychological	ExpStim
38	19	unexpected	John abhorred Mary because he	4	abhorred	Psychological	ExpStim
39	20	expected	John abhorred David because he	4	abhorred	Psychological	ExpStim
40	20	unexpected	John abhorred Sarah because he	4	abhorred	Psychological	ExpStim
41	21	expected	Sarah abhorred Mary because she	4	abhorred	Psychological	ExpStim
42	21	unexpected	Sarah abhorred John because she	4	abhorred	Psychological	ExpStim
43	22	expected	Sarah abhorred Mary because she	4	abhorred	Psychological	ExpStim
44	22	unexpected	Sarah abhorred David because she	4	abhorred	Psychological	ExpStim
45	23	expected	Mary abhorred Sarah because she	4	abhorred	Psychological	ExpStim
46	23	unexpected	Mary abhorred John because she	4	abhorred	Psychological	ExpStim
47	24	expected	Mary abhorred Sarah because she	4	abhorred	Psychological	ExpStim
48	24	unexpected	Mary abhorred David because she	4	abhorred	Psychological	ExpStim
49	25	expected	David acclaimed John because he	4	acclaimed	Activity	AgEvo
50	25	unexpected	David acclaimed Mary because he	4	acclaimed	Activity	AgEvo
51	26	expected	David acclaimed John because he	4	acclaimed	Activity	AgEvo
52	26	unexpected	David acclaimed Sarah because he	4	acclaimed	Activity	AgEvo
53	27	expected	John acclaimed David because he	4	acclaimed	Activity	AgEvo
54	27	unexpected	John acclaimed Mary because he	4	acclaimed	Activity	AgEvo
55	28	expected	John acclaimed David because he	4	acclaimed	Activity	AgEvo
56	28	unexpected	John acclaimed Sarah because he	4	acclaimed	Activity	AgEvo
57	29	expected	Sarah acclaimed Mary because she	4	acclaimed	Activity	AgEvo
58	29	unexpected	Sarah acclaimed John because she	4	acclaimed	Activity	AgEvo
59	30	expected	Sarah acclaimed Mary because she	4	acclaimed	Activity	AgEvo
60	30	unexpected	Sarah acclaimed David because she	4	acclaimed	Activity	AgEvo
61	31	expected	Mary acclaimed Sarah because she	4	acclaimed	Activity	AgEvo
62	31	unexpected	Mary acclaimed John because she	4	acclaimed	Activity	AgEvo
63	32	expected	Mary acclaimed Sarah because she	4	acclaimed	Activity	AgEvo
64	32	unexpected	Mary acclaimed David because she	4	acclaimed	Activity	AgEvo
65	33	expected	John accompanied David because he	4	accompanied	Activity	AgP
66	33	unexpected	Mary accompanied David because he	4	accompanied	Activity	AgP
67	34	expected	John accompanied David because he	4	accompanied	Activity	AgP
68	34	unexpected	Sarah accompanied David because he	4	accompanied	Activity	AgP
69	35	expected	David accompanied John because he	4	accompanied	Activity	AgP
70	35	unexpected	Mary accompanied John because he	4	accompanied	Activity	AgP
71	36	expected	David accompanied John because he	4	accompanied	Activity	AgP
72	36	unexpected	Sarah accompanied John because he	4	accompanied	Activity	AgP
73	37	expected	Mary accompanied Sarah because she	4	accompanied	Activity	AgP
74	37	unexpected	John accompanied Sarah because she	4	accompanied	Activity	AgP
