sentid	pairid	comparison	sentence	ROI	verb	semantic	semantic_class_detailed
1	1	expected	David abandoned John because he	4	abandoned	Activity	AgP
2	1	unexpected	Elizabeth abandoned John because he	4	abandoned	Activity	AgP
3	2	expected	James abashed Daniel because he	4	abashed	Psychological	StimExp
4	2	unexpected	Jennifer abashed Daniel because he	4	abashed	Psychological	StimExp
5	3	expected	David abhorred Mark because he	4	abhorred	Psychological	ExpStim
6	3	unexpected	David abhorred Lily because he	4	abhorred	Psychological	ExpStim
7	4	expected	Daniel acclaimed Richard because he	4	acclaimed	Activity	AgEvo
8	4	unexpected	Daniel acclaimed Mary because he	4	acclaimed	Activity	AgEvo
9	5	expected	John accompanied David because he	4	accompanied	Activity	AgP
10	5	unexpected	Linda accompanied David because he	4	accompanied	Activity	AgP
11	6	expected	James accused Mark because he	4	accused	Activity	AgEvo
12	6	unexpected	James accused Grace because he	4	accused	Activity	AgEvo
13	7	expected	John admired Mark because he	4	admired	Psychological	ExpStim
14	7	unexpected	John admired Linda because he	4	admired	Psychological	ExpStim
15	8	expected	Mark admonished Richard because he	4	admonished	Activity	AgP
16	8	unexpected	Linda admonished Richard because he	4	admonished	Activity	AgP
17	9	expected	Thomas adored Robert because he	4	adored	Psychological	ExpStim
18	9	unexpected	Thomas adored Mary because he	4	adored	Psychological	ExpStim
19	10	expected	Michael advised Richard because he	4	advised	Activity	AgP
20	10	unexpected	Emily advised Richard because he	4	advised	Activity	AgP
21	11	expected	Robert affected Michael because he	4	affected	Psychological	StimExp
22	11	unexpected	Linda affected Michael because he	4	affected	Psychological	StimExp
23	12	expected	William affronted David because he	4	affronted	Psychological	StimExp
24	12	unexpected	Lily affronted David because he	4	affronted	Psychological	StimExp
25	13	expected	Richard aggravated David because he	4	aggravated	Psychological	StimExp
26	13	unexpected	Emily aggravated David because he	4	aggravated	Psychological	StimExp
27	14	expected	William agitated Robert because he	4	agitated	Psychological	StimExp
28	14	unexpected	Mary agitated Robert because he	4	agitated	Psychological	StimExp
29	15	expected	Thomas alarmed Mark because he	4	alarmed	Psychological	StimExp
30	15	unexpected	Lily alarmed Mark because he	4	alarmed	Psychological	StimExp
31	16	expected	Richard alienated David because he	4	alienated	Activity	AgP
32	16	unexpected	Sarah alienated David because he	4	alienated	Activity	AgP
33	17	expected	Robert amazed William because he	4	amazed	Psychological	StimExp
34	17	unexpected	Grace amazed William because he	4	amazed	Psychological	StimExp
35	18	expected	James amused David because he	4	amused	Psychological	StimExp
36	18	unexpected	Mary amused David because he	4	amused	Psychological	StimExp
37	19	expected	James angered Robert because he	4	angered	Psychological	StimExp
38	19	unexpected	Lily angered Robert because he	4	angered	Psychological	StimExp
39	20	expected	James annoyed David because he	4	annoyed	Psychological	StimExp
40	20	unexpected	Susan annoyed David because he	4	annoyed	Psychological	StimExp
41	21	expected	Robert answered Thomas because he	4	answered	Activity	AgP
42	21	unexpected	Emily answered Thomas because he	4	answered	Activity	AgP
43	22	expected	Michael antagonized William because he	4	antagonized	Psychological	StimExp
44	22	unexpected	Emily antagonized William because he	4	antagonized	Psychological	StimExp
45	23	expected	James apologized to Robert because he	5	apologized to	Activity	AgEvo
46	23	unexpected	James apologized to Lily because he	5	apologized to	Activity	AgEvo
47	24	expected	Daniel appalled Michael because he	4	appalled	Psychological	StimExp
48	24	unexpected	Sarah appalled Michael because he	4	appalled	Psychological	StimExp
49	25	expected	James appeased Michael because he	4	appeased	Psychological	StimExp
50	25	unexpected	Jessica appeased Michael because he	4	appeased	Psychological	StimExp
51	26	expected	Richard applauded Robert because he	4	applauded	Activity	AgEvo
52	26	unexpected	Richard applauded Sarah because he	4	applauded	Activity	AgEvo
53	27	expected	James appreciated William because he	4	appreciated	Psychological	ExpStim
54	27	unexpected	James appreciated Mary because he	4	appreciated	Psychological	ExpStim
55	28	expected	James approached John because he	4	approached	Activity	AgP
56	28	unexpected	Emily approached John because he	4	approached	Activity	AgP
57	29	expected	Richard astonished Robert because he	4	astonished	Psychological	StimExp
58	29	unexpected	Lily astonished Robert because he	4	astonished	Psychological	StimExp
59	30	expected	James astounded William because he	4	astounded	Psychological	StimExp
60	30	unexpected	Linda astounded William because he	4	astounded	Psychological	StimExp
61	31	expected	Thomas attracted Richard because he	4	attracted	Psychological	StimExp
62	31	unexpected	Jessica attracted Richard because he	4	attracted	Psychological	StimExp
63	32	expected	Michael avoided Robert because he	4	avoided	Activity	AgP
64	32	unexpected	Jennifer avoided Robert because he	4	avoided	Activity	AgP
65	33	expected	James baffled Mark because he	4	baffled	Psychological	StimExp
66	33	unexpected	Sarah baffled Mark because he	4	baffled	Psychological	StimExp
67	34	expected	Robert banished Richard because he	4	banished	Activity	AgP
68	34	unexpected	Grace banished Richard because he	4	banished	Activity	AgP
69	35	expected	Richard battled William because he	4	battled	Activity	AgP
70	35	unexpected	Linda battled William because he	4	battled	Activity	AgP
71	36	expected	Michael beguiled Mark because he	4	beguiled	Psychological	StimExp
72	36	unexpected	Jessica beguiled Mark because he	4	beguiled	Psychological	StimExp
73	37	expected	David believed John because he	4	believed	Psychological	ExpStim
