sentid	pairid	comparison	sentence	ROI	verb	semantic	semantic_class_detailed
1	1	expected	John abandoned David because he	4	abandoned	Activity	AgP
2	1	unexpected	Mary abandoned David because he	4	abandoned	Activity	AgP
3	2	expected	John abandoned David because he	4	abandoned	Activity	AgP
4	2	unexpected	Sarah abandoned David because he	4	abandoned	Activity	AgP
5	3	expected	John abandoned Mary because he	4	abandoned	Activity	AgP
6	3	unexpected	Sarah abandoned Mary because he	4	abandoned	Activity	AgP
7	4	expected	John abandoned Sarah because he	4	abandoned	Activity	AgP
8	4	unexpected	Mary abandoned Sarah because he	4	abandoned	Activity	AgP
9	5	expected	David abandoned John because he	4	abandoned	Activity	AgP
10	5	unexpected	Mary abandoned John because he	4	abandoned	Activity	AgP
11	6	expected	David abandoned John because he	4	abandoned	Activity	AgP
12	6	unexpected	Sarah abandoned John because he	4	abandoned	Activity	AgP
13	7	expected	David abandoned Mary because he	4	abandoned	Activity	AgP
14	7	unexpected	Sarah abandoned Mary because he	4	abandoned	Activity	AgP
15	8	expected	David abandoned Sarah because he	4	abandoned	Activity	AgP
16	8	unexpected	Mary abandoned Sarah because he	4	abandoned	Activity	AgP
17	9	expected	Mary abandoned John because she	4	abandoned	Activity	AgP
18	9	unexpected	David abandoned John because she	4	abandoned	Activity	AgP
19	10	expected	Mary abandoned David because she	4	abandoned	Activity	AgP
20	10	unexpected	John abandoned David because she	4	abandoned	Activity	AgP
21	11	expected	Mary abandoned Sarah because she	4	abandoned	Activity	AgP
22	11	unexpected	John abandoned Sarah because she	4	abandoned	Activity	AgP
23	12	expected	Mary abandoned Sarah because she	4	abandoned	Activity	AgP
24	12	unexpected	David abandoned Sarah because she	4	abandoned	Activity	AgP
25	13	expected	Sarah abandoned John because she	4	abandoned	Activity	AgP
26	13	unexpected	David abandoned John because she	4	abandoned	Activity	AgP
27	14	expected	Sarah abandoned David because she	4	abandoned	Activity	AgP
28	14	unexpected	John abandoned David because she	4	abandoned	Activity	AgP
29	15	expected	Sarah abandoned Mary because she	4	abandoned	Activity	AgP
30	15	unexpected	John abandoned Mary because she	4	abandoned	Activity	AgP
31	16	expected	Sarah abandoned Mary because she	4	abandoned	Activity	AgP
32	16	unexpected	David abandoned Mary because she	4	abandoned	Activity	AgP
33	17	expected	John abashed David because he	4	abashed	Psychological	StimExp
34	17	unexpected	Mary abashed David because he	4	abashed	Psychological	StimExp
35	18	expected	John abashed David because he	4	abashed	Psychological	StimExp
36	18	unexpected	Sarah abashed David because he	4	abashed	Psychological	StimExp
37	19	expected	John abashed Mary because he	4	abashed	Psychological	StimExp
38	19	unexpected	Sarah abashed Mary because he	4	abashed	Psychological	StimExp
39	20	expected	John abashed Sarah because he	4	abashed	Psychological	StimExp
40	20	unexpected	Mary abashed Sarah because he	4	abashed	Psychological	StimExp
41	21	expected	David abashed John because he	4	abashed	Psychological	StimExp
42	21	unexpected	Mary abashed John because he	4	abashed	Psychological	StimExp
43	22	expected	David abashed John because he	4	abashed	Psychological	StimExp
44	22	unexpected	Sarah abashed John because he	4	abashed	Psychological	StimExp
45	23	expected	David abashed Mary because he	4	abashed	Psychological	StimExp
46	23	unexpected	Sarah abashed Mary because he	4	abashed	Psychological	StimExp
47	24	expected	David abashed Sarah because he	4	abashed	Psychological	StimExp
48	24	unexpected	Mary abashed Sarah because he	4	abashed	Psychological	StimExp
49	25	expected	Mary abashed John because she	4	abashed	Psychological	StimExp
50	25	unexpected	David abashed John because she	4	abashed	Psychological	StimExp
51	26	expected	Mary abashed David because she	4	abashed	Psychological	StimExp
52	26	unexpected	John abashed David because she	4	abashed	Psychological	StimExp
53	27	expected	Mary abashed Sarah because she	4	abashed	Psychological	StimExp
54	27	unexpected	John abashed Sarah because she	4	abashed	Psychological	StimExp
55	28	expected	Mary abashed Sarah because she	4	abashed	Psychological	StimExp
56	28	unexpected	David abashed Sarah because she	4	abashed	Psychological	StimExp
57	29	expected	Sarah abashed John because she	4	abashed	Psychological	StimExp
58	29	unexpected	David abashed John because she	4	abashed	Psychological	StimExp
59	30	expected	Sarah abashed David because she	4	abashed	Psychological	StimExp
60	30	unexpected	John abashed David because she	4	abashed	Psychological	StimExp
61	31	expected	Sarah abashed Mary because she	4	abashed	Psychological	StimExp
62	31	unexpected	John abashed Mary because she	4	abashed	Psychological	StimExp
63	32	expected	Sarah abashed Mary because she	4	abashed	Psychological	StimExp
64	32	unexpected	David abashed Mary because she	4	abashed	Psychological	StimExp
65	33	expected	John abhorred David because he	4	abhorred	Psychological	ExpStim
66	33	unexpected	John abhorred Mary because he	4	abhorred	Psychological	ExpStim
67	34	expected	John abhorred David because he	4	abhorred	Psychological	ExpStim
68	34	unexpected	John abhorred Sarah because he	4	abhorred	Psychological	ExpStim
69	35	expected	John abhorred Mary because she	4	abhorred	Psychological	ExpStim
70	35	unexpected	John abhorred David because she	4	abhorred	Psychological	ExpStim
71	36	expected	John abhorred Sarah because she	4	abhorred	Psychological	ExpStim
72	36	unexpected	John abhorred David because she	4	abhorred	Psychological	ExpStim
73	37	expected	David abhorred John because he	4	abhorred	Psychological	ExpStim
74	37	unexpected	David abhorred Mary because he	4	abhorred	Psychological	ExpStim
75	38	expected	David abhorred John because he	4	abhorred	Psychological	ExpStim
76	38	unexpected	David abhorred Sarah because he	4	abhorred	Psychological	ExpStim
